parzellen_id,gebaeude_id,geschoss_id,geschoss_label,wohnungs_id,einheit_id,flaechen_id,einheit_nutzung,entitaet_subtyp,entitaet_typ,flaeche,definition,zimmer_zaehler,hoehenkote,hoehe,koordinaten
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395172.0,Wohnen,Küche,Raum,14.54,HNF,0.0,8.7,2.6,"POLYGON ((15.81 7.55, 15.77 7.7, 15.66 8.1, 17.66 8.65, 18.91 4.47, 15.48 3.52, 14.47 7.19, 15.81 7.55))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395186.0,Wohnen,Schlafzimmer,Raum,12.49,HNF,1.0,8.7,2.6,"POLYGON ((20.61 -1.24, 15.48 -2.66, 14.85 -0.39, 19.94 1.02, 20.61 -1.24))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395073.0,Wohnen,Schlafzimmer,Raum,8.47,HNF,1.0,8.7,2.6,"POLYGON ((14.62 -0.45, 14.72 -0.42, 15.34 -2.69, 12.84 -3.38, 11.96 -0.2, 14.37 0.46, 14.58 -0.31, 14.62 -0.45))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395025.0,Wohnen,Badezimmer,Raum,6.58,HNF,0.0,8.7,2.6,"POLYGON ((13.48 8.46, 14.02 8.61, 14.11 8.64, 13.76 9.91, 16.27 10.6, 16.52 9.68, 16.54 9.68, 16.56 9.61, 16.74 9.66, 17.03 8.63, 14.49 7.93, 14.49 7.94, 14.34 7.89, 14.49 7.35, 13.83 7.17, 13.48 8.46))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395079.0,Wohnen,Abstellraum,Raum,8.4,NNF,0.0,8.7,2.6,"POLYGON ((11.08 -0.24, 10.42 2.17, 13.65 3.06, 14.32 0.64, 11.08 -0.24))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395016.0,Wohnen,Wohnzimmer,Raum,11.81,HNF,1.0,8.7,2.6,"POLYGON ((19.9 1.16, 16.4 0.2, 15.53 3.37, 18.96 4.31, 19.9 1.16))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395050.0,Wohnen,Korridor,Raum,12.06,HNF,0.0,8.7,2.6,"POLYGON ((12.81 7.03, 12.49 8.19, 13.33 8.42, 13.7 7.07, 13.73 6.98, 14.32 7.14, 16.25 0.15, 14.82 -0.24, 12.81 7.03))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395006.0,Wohnen,Schacht,Raum,1.67,FF,0.0,8.7,2.6,"POLYGON ((13.73 10.03, 13.69 10.16, 16.95 11.05, 17.62 8.79, 17.15 8.66, 16.85 9.74, 16.83 9.8, 16.66 9.76, 16.38 10.76, 16.3 10.74, 13.73 10.03))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395038.0,Wohnen,Schacht,Raum,0.42,FF,0.0,8.7,2.6,"POLYGON ((15.61 7.65, 14.64 7.39, 14.53 7.79, 15.5 8.06, 15.61 7.65))"
10686,15413,40051,0102 | 02 OG,21487185efb6c0738f25bd7b9abbfb1b,131948.0,1395172.0,Wohnen,Küche,Ausstattung,,HNF,0.0,8.7,0.9,"POLYGON ((17.65 8.62, 17.8 8.08, 15.82 7.54, 15.67 8.08, 17.65 8.62))"
